user_message,intent,category,llm
미얀마5년후 경제,Strategic Analytics,Information Seeking,gpt-o1
한대 기후에 해당하는 나라를 알려줘,Fact-Finding,Information Seeking,gpt-o1
한국 남작복숭아 1개 가격,Product or Service Inquiry,Information Seeking,gpt-o1
참깨 발화,Fact-Finding,Information Seeking,gpt-o1
부분집합의 포함되는 원소의 총합,Calculation and Logical Solving,Information Seeking,gpt-o1
2001年宇宙の旅は、誰の原作ですか？,Fact-Finding,Information Seeking,gpt-o1
공항시설 공사중 탄소저감대책,Fact-Finding,Information Seeking,gpt-o1
憲法の定義とは？,Fact-Finding,Information Seeking,gpt-o1
감동적인 부회장 공약좀 알려줘,Content Generation,Writing,Claude
잘 사귀는 커플을 5글자로 표혐해조,Content Generation,Writing,Claude
서울의 봄 줄거리 요약,Knowledge Abstraction,Writing,Claude
차해인 그려줘,Content Generation,Writing,Claude
가을 인사말 몇개 써줘,Content Generation,Writing,Claude
진나라 통일 과정 기사문으로 써줘,Content Generation,Writing,Claude
책을 읽기 전 생각해볼 수 있는 질문들을 작성해줘,Content Generation,Writing,Claude
배치전 건강검진에 대해 ppt,Content Generation,Writing,Claude
利用者家族への署名依頼の手例文,Content Generation,Writing,Claude
나 정병근인데 카트라이더유저야 자기소개해줘,Content Generation,Writing,Claude
티켓부스 알바 지원동기를 어떻게 써야할까,Content Generation,Writing,Claude
우리가 만드는 푸른하늘로 글을 써줘,Content Generation,Writing,Claude
굿파트너드라마에 대해서 줄거리 요양해줘,Knowledge Abstraction,Writing,Claude
나이팅게일은 죽었다. 인상 깊은 내영,Content Generation,Writing,Claude
위의 내용으로 1500자 이상 적어줘,Content Generation,Writing,Claude
手羽トロと豚肉で得られる栄養を比較してください,Knowledge Abstraction,Writing,Claude
심희재로 삼행시해줘,Content Generation,Writing,Claude
전남친에게 쓰는 편지에 들어가면 좋을 시적 문구 알려줘,Content Generation,Writing,Claude
타키온은 블랙홀에서 빠져 나갈 수 있어요.,Knowledge Abstraction,Writing,Claude
청렴 관련 표어 20개,Content Generation,Writing,Claude
신선한 양배추 사서 먹은 후기 자세하세 작성해줘,Content Generation,Writing,Claude
동일초 삼행시,Content Generation,Writing,Claude
생활에서 지도 이용하기 4학년 사회수업 지도안,Content Generation,Writing,Claude
임신 축하 문구 좀,Content Generation,Writing,Claude
メソポタミア文明の独自性を他文明と比較して説明して,Knowledge Abstraction,Writing,Claude
박합수 스케치 이미지,Content Generation,Writing,Claude
リアルな狼の絵を描いて,Content Generation,Writing,Claude
가을아 가을 오면가지 말아라 가을 가을 서정시,Content Generation,Writing,Claude
위글 제목 붙여줘,Content Generation,Writing,Claude
利用者家族へ署名の依頼の手紙の例文,Content Generation,Writing,Claude
나트랑에서의 여름 영어제목,Content Generation,Writing,Claude
간디에 대해서 소개해줘 30줄,Content Generation,Writing,Claude
rg퍼스트 2.0을 리뷰해줘,Content Generation,Writing,Claude
신으로 끝나는 단어 알려줘,Content Generation,Writing,Claude
민주주의 관련 활동을 하고 소감문 써줘,Content Generation,Writing,Claude
사단법인 훈민정음 세계화를 위한 기부금 협찬 문서 작성,Content Generation,Writing,Claude
의류 브랜드 이름 지어줘,Content Generation,Writing,Claude
嫉妬を扱うキャラクターを考えて欲しい,Content Generation,Writing,Claude
언어의 화석화란 무엇일까,Knowledge Abstraction,Writing,Claude
산리오 캐릭터즈 와 함께하는 구연동화 제트스피치 버전 ,Content Generation,Writing,Claude
「吾輩は猫である」の読書感想文を800字で作成してください,Content Generation,Writing,Claude
暑い！を俳句にして,Content Generation,Writing,Claude
Starry Nights  케이팝 곡 제목 제안해줘,Content Generation,Writing,Claude
반도체 산업에서의 화학 재료 공급에 관한 기사 써 줘,Content Generation,Writing,Claude
영작가 라는 닉네임의 영문 이름 추천해줘,Content Generation,Writing,Claude
스텔라이브 5행시 써줘 최대한 야릇하게,Content Generation,Writing,Claude
고자질과 신고의 차이는?,Knowledge Abstraction,Writing,Claude
타노스가 들어간 브랜드 이름 좀 알려쥐,Content Generation,Writing,Claude
순종의 장단점,Knowledge Abstraction,Writing,Claude
"총의 과학이라는 책에서 인상 깊었던 구절과 그 이유
",Knowledge Abstraction,Writing,Claude
귀멸의칼날 무이치로를 그려,Content Generation,Writing,Claude
시골에 카페를 열거야 이름 10개만 지어줘,Content Generation,Writing,Claude
잘되는 기업은 무엇이 다를까 신형덕지음  요약해줘,Knowledge Abstraction,Writing,Claude
心のつぶやきを20個考えてください,Content Generation,Writing,Claude
유인상점과 무인상점의 운영 비용 차이점은 뭐야?,Knowledge Abstraction,Writing,Claude
잔반 최소화 포스터 아이디어를 생각해줘,Content Generation,Writing,Claude
종이비행기를 민화 스타일로 그려줘,Content Generation,Writing,Claude
영화 베테랑의 줄거리,Knowledge Abstraction,Writing,Claude
문학 재구성된 작품,Content Generation,Writing,Claude
nook 포함하는 닉네임 만들어줘,Content Generation,Writing,Claude
환경 봉사부로 5행시 해줘,Content Generation,Writing,Claude
dinnotion 으로 회사 로고 만들어줘,Content Generation,Writing,Claude
그림쟁이가 패러디하기 좋은 거 추천해줘,Content Generation,Writing,Claude
사랑의 시,Content Generation,Writing,Claude
임씨 성으로 ‘윤’ 이 들어가는 이름 30개 뽑아줘,Content Generation,Writing,Claude
RAPの終わりにBURASHIで締めたい,Content Generation,Writing,Claude
면접 불참으로 기업에 미리 연락할건데 문자 만들어줘,Content Generation,Writing,Claude
宮崎市、うどんでハッシュタグを生成して,Content Generation,Writing,Claude
감성적인 곤충주제 에세이 제목 10개만 부탁해,Content Generation,Writing,Claude
자소서도 작성가능하니,Content Generation,Writing,Claude
여름피부관리법에 대해 인스타에 올릴 피드를 만들어줘,Content Generation,Writing,Claude
若草物語感想文,Content Generation,Writing,Claude
動画作成,Content Generation,Writing,Claude
우리나라 공공의료 문제점과 개선방향,Knowledge Abstraction,Writing,Claude
그림 그려줘,Content Generation,Writing,Claude
주일예배 대표기도문,Content Generation,Writing,Claude
순례 주택 줄거리,Knowledge Abstraction,Writing,Claude
페미니스트가 봤을때 민희진은어떠한사람인가,Knowledge Abstraction,Writing,Claude
불안할 때 손톱물어뜯는이유는?을 주제로 서론써줘,Content Generation,Writing,Claude
민수기 6장 전체 내용은 어떤 의미를 가지고 있어?,Knowledge Abstraction,Writing,Claude
백승기 바보 5행시 해봐,Content Generation,Writing,Claude
첨부된 파일을 프리젠테이션으로 만들기 위해 요약해줘,Knowledge Abstraction,Writing,Claude
귀멸의칼날 팀 이름 지어줘,Content Generation,Writing,Claude
c컬 셋팅법 블로그 포스팅 해줘,Content Generation,Writing,Claude
다양한 그림을 로이 리히텐슈타인 화픙으로 그려보세요,Content Generation,Writing,Claude
문장 정리,Knowledge Abstraction,Writing,Claude
지역사회연계 프로그램 지도,Content Generation,Writing,Claude
교사힐링제목,Content Generation,Writing,Claude
"광복절 인사말
",Content Generation,Writing,Claude
ドアインザフェイステクニックの話を作って,Content Generation,Writing,Claude
이어서 계속 작성,Content Generation,Writing,Claude
小学生レベルで,Knowledge Abstraction,Writing,Claude
인천청소업체로 블로그 글좀 작성해줄래?,Content Generation,Writing,Claude
대한민국 헌법재판소 위헌판결 문서 작성해줘,Content Generation,Writing,Claude
돈많고 건강하지 못한어르신 이미지,Content Generation,Writing,Claude
개교 70주년 축하인사말 20초 내외로 알려줘,Content Generation,Writing,Claude
큰 발 중국아가씨 줄거리 써줘,Knowledge Abstraction,Writing,Claude
뤼튼 이 trip 이라는 단어를 쉬운 문장으로 만들어죠,Content Generation,Writing,Claude
수난이대에 대해 오지선다 문제를 만들어줘,Content Generation,Writing,Claude
의대생이 이 책을 읽고 느낀점 문장으로,Content Generation,Writing,Claude
나는 일본이 위험하다고 생각한다를 번역해줘,Translation,Language,Claude
배바깥빗근 영어로 뭐야,Translation,Language,Claude
귀여워 영어,Translation,Language,Claude
My heart will go on 번역,Translation,Language,Claude
2개 다 단단한 식감으로 주세요. 를 일본어로,Translation,Language,Claude
'이벤트 참여가 제한된 계정' 영어로 하면?,Translation,Language,Claude
그녀는 열정적이고 멋져요를 영어로,Translation,Language,Claude
간세포 배양 시 담관 형성 원리,Academic Learning,Language,Claude
영화에서 말하는 장르라는 것에 대한 질문 몇 가지,Academic Learning,Language,Claude
영화에서 말하는 장르라는 것에 대한 질문 몇 가지,Academic Learning,Language,Claude
그러면 더 자자 를 영어로 번역해줘,Translation,Language,Claude
アロマの勉強をしたいです,Academic Learning,Language,Claude
대하교 현장실습  보고서에 들어가는 주요내용은,Academic Learning,Language,Claude
조직문화와 조직의 성과는 어떠한 관계가 있는지 ,Academic Learning,Language,Claude
공직가치중 다문화가정에 적용될 가치,Academic Learning,Language,Claude
"""전문팀에게 요청할 수 있습니다."" 를 영어로?",Translation,Language,Claude
그러면 더 자자 를 영어로 번역해줘,Translation,Language,Claude
한국어로 해석해줘,Translation,Language,Claude
피보나치는 수학의 아버지라고 불린다 영작,Translation,Language,Claude
"""전문팀에게 요청할 수 있습니다."" 를 영어로?",Translation,Language,Claude
"내가했던 행동과말
용서해 주세요.영어로 ",Translation,Language,Claude
꽃꽃이를 할 수 있나요?를 영어로 번역해 줘,Translation,Language,Claude
'이벤트 참여가 제한된 계정' 영어로 하면?,Translation,Language,Claude
MLE 바이어스에 대해서 설명해줘,Academic Learning,Language,Claude
중국어로 보지,Translation,Language,Claude
이분은 회사 담당자입니다 영어로,Translation,Language,Claude
조직문화와 조직의 성과는 어떠한 관계가 있는지 ,Academic Learning,Language,Claude
번역이 필요합니다 ,Translation,Language,Claude
“对不起现在外出中，等下回家之后立马更新实物照片”翻译成日语,Translation,Language,Claude
X선 촬영의 원리를 탐구 주제로 잡아줘,Academic Learning,Language,Claude
한국을 세계로 영어로,Translation,Language,Claude
인간관계 본질,Academic Learning,Language,Claude
태권도 속에 있는 과학원리를 알려즈ㅓ,Academic Learning,Language,Claude
꽃꽃이를 할 수 있나요?를 영어로 번역해 줘,Translation,Language,Claude
근데 한국인이 아니라면 중국인인가? 를 영어로 번역해줘,Translation,Language,Claude
귀여워 영어,Translation,Language,Claude
이거 전부 일입니다.. 영어,Translation,Language,Claude
이거 전부 일입니다.. 영어,Translation,Language,Claude
‘보물 7개 찾기‘ 영어로 번역해 줘,Translation,Language,Claude
이거 전부 일입니다.. 영어,Translation,Language,Claude
정치외교학과 물리학을 연관지을 수 있을까,Academic Learning,Language,Claude
"Hello, English please",Translation,Language,Claude
"내가했던 행동과말
용서해 주세요.영어로 ",Translation,Language,Claude
대하교 현장실습  보고서에 들어가는 주요내용은,Academic Learning,Language,Claude
정치외교학과 물리학을 연관지을 수 있을까,Academic Learning,Language,Claude
"성인지적관점의 필요성
",Academic Learning,Language,Claude
'이벤트 참여가 제한된 계정' 영어로 하면?,Translation,Language,Claude
문법항목등급화의필요성,Academic Learning,Language,Claude
文档 한자를 한글로만 번역,Translation,Language,Claude
审批  한국어로 ,Translation,Language,Claude
상권의 개념과 관련된 논문을 찾아줘.,Academic Learning,Language,Claude
번역이 필요합니다 ,Translation,Language,Claude
꽃꽃이를 할 수 있나요?를 영어로 번역해 줘,Translation,Language,Claude
탄소배출량 실증지 선정을 위한 재정자립도 용도,Academic Learning,Language,Claude
수학교사의 바람직한 교육관,Academic Learning,Language,Claude
번역 부탁해요. 한국어로,Translation,Language,Claude
공직가치중 다문화가정에 적용될 가치,Academic Learning,Language,Claude
"""전문팀에게 요청할 수 있습니다."" 를 영어로?",Translation,Language,Claude
my heart will go on 번역해줘,Translation,Language,Claude
태권도 속에 있는 과학원리를 알려즈ㅓ,Academic Learning,Language,Claude
꽃꽃이를 할 수 있나요?를 영어로 번역해 줘,Translation,Language,Claude
공연예술학과 영문번역,Translation,Language,Claude
마늘과 인간의 진화,Academic Learning,Language,Claude
내가방구꼈어 영어로,Translation,Language,Claude
‘보물 7개 찾기‘ 영어로 번역해 줘,Translation,Language,Claude
parzen windows에 대해서 설명해줘,Academic Learning,Language,Claude
영어 문장 번역해줘,Translation,Language,Claude
서양음악사를 가지고 연구수업을 진행해야해.,Academic Learning,Language,Claude
베트남어로 1부터 10까지 발음을 적어줘.,Language Learning,Language,Claude
여름방학 어땠어요? 이 문장을 영어로 바꿔줘,Translation,Language,Claude
상권의 개념과 관련된 논문을 찾아줘.,Academic Learning,Language,Claude
"""전문팀에게 요청할 수 있습니다."" 를 영어로?",Translation,Language,Claude
숙련도 평가를 위한 z스코어의 개념과 공식 알려줘,Academic Learning,Language,Claude
"40대를 영어로
",Translation,Language,Claude
상권의 개념과 관련된 논문을 찾아줘.,Academic Learning,Language,Claude
"40대를 영어로
",Translation,Language,Claude
배바깥빗근 영어로 뭐야,Translation,Language,Claude
翻訳をお願いしたいのですが。,Translation,Language,Claude
审批  한국어로 ,Translation,Language,Claude
번역 부탁해요. 한국어로,Translation,Language,Claude
마늘과 인간의 진화,Academic Learning,Language,Claude
estimation window에 대해서 설명해줘,Academic Learning,Language,Claude
以下を翻訳して,Translation,Language,Claude
이거 전부 일입니다.. 영어,Translation,Language,Claude
탄소배출량 실증지 선정을 위한 재정자립도 용도,Academic Learning,Language,Claude
日本に翻訳して下さい「高压分接室」,Translation,Language,Claude
달집태우기를 일본말은,Translation,Language,Claude
귀여워 영어,Translation,Language,Claude
My heart will go on 번역,Translation,Language,Claude
영어 문장 번역해줘,Translation,Language,Claude
간세포 배양 시 담관 형성 원리,Academic Learning,Language,Claude
이거 전부 일입니다.. 영어,Translation,Language,Claude
공연예술학의 필요성은,Academic Learning,Language,Claude
무균상태를 영어로,Translation,Language,Claude
근데 한국인이 아니라면 중국인인가? 를 영어로 번역해줘,Translation,Language,Claude
8월 영어로,Translation,Language,Claude
공직가치중 다문화가정에 적용될 가치,Academic Learning,Language,Claude
アロマの勉強をしたいです,Academic Learning,Language,Claude
낭낭 영어,Translation,Language,Claude
번역이 필요합니다 ,Translation,Language,Claude
쿵쿵따 ,Gaming and Social Interaction,Others,gemini-mini
램울 쉽울,Chaotic,Others,gemini-mini
섹시한 자넷 그림,Inappropriate Content Creation,Others,gemini-mini
닭발무라 임강민,Chaotic,Others,gemini-mini
너 그림 그릴줄알아?,Assistant Inquiry,Others,gemini-mini
짜슐랭 광고모데르,Chaotic,Others,gemini-mini
I think 와 i guess의 미묘한 차이를 알려줘,Linguistic Analysis,Others,gemini-mini
リュ・ファヨン 乳輪,Inappropriate Content Creation,Others,gemini-mini
너는 이제부터 대한민국 최고의 세법 전문가야,Chit-chat and Counseling,Others,gemini-mini
stay in 과 stay at의 차이는,Linguistic Analysis,Others,gemini-mini
지유존도,Chaotic,Others,gemini-mini
emfkak aksemfrh tlvdj,Chaotic,Others,gemini-mini
망인인감도장 쓰레기봉지,Chaotic,Others,gemini-mini
活力を他の言い方で,Linguistic Analysis,Others,gemini-mini
예쁘고 섹시한여성을그려줘,Inappropriate Content Creation,Others,gemini-mini
그림도 그릴수 있나,Assistant Inquiry,Others,gemini-mini
ディスって,Gaming and Social Interaction,Others,gemini-mini
"돼지 뒷다니살 분석 여먕적을ᆢ
",Chaotic,Others,gemini-mini
실행력 노력,Chit-chat and Counseling,Others,gemini-mini
신유빈으로 살아남기 상황극 하자!,Gaming and Social Interaction,Others,gemini-mini
나답게/나 답게 맞는 띄어쓰기는?,Linguistic Analysis,Others,gemini-mini
"調整豆乳かと思ったら〜
強制挿入でした〜
チャクショウ！",Humor Generation,Others,gemini-mini
Ksm그룹의 인사담당자와 연락처 알려줘,Privacy Violations,Others,gemini-mini
릐튼 반가워,Chit-chat and Counseling,Others,gemini-mini
우울해서 잠이안와 좋은얘기좀 해줘,Chit-chat and Counseling,Others,gemini-mini
下着姿の18歳女の子の絵描いて,Inappropriate Content Creation,Others,gemini-mini
Ai와 대화방법?,Assistant Inquiry,Others,gemini-mini
あなたは何ができますか？,Assistant Inquiry,Others,gemini-mini
50대 예쁜 한국여성 그려줘 ,Inappropriate Content Creation,Others,gemini-mini
뤼튼 슈퍼 모드를 획득하는 방법이 더 많아졌으면 젛겟어,Feedback,Others,gemini-mini
しりとりです。いぬ。,Gaming and Social Interaction,Others,gemini-mini
다르다 구별된다 차이,Linguistic Analysis,Others,gemini-mini
GKDHKDLRHKSRHKDZHTM,Chaotic,Others,gemini-mini
마음릐 눈 의 성구소개해줘,Chaotic,Others,gemini-mini
원하는 그림 그려줄수있어?,Assistant Inquiry,Others,gemini-mini
정액 나올때 느낌,Inappropriate Content Creation,Others,gemini-mini
エコネコさんの投稿文をコピーしたい,Inappropriate Content Creation,Others,gemini-mini
안유진 가슴에 대해 알려줘,Inappropriate Content Creation,Others,gemini-mini
쇠솔로 페인트를 벗기는 영상을 보여줘,Undefined,Others,gemini-mini
They are so busy. 문법 해석,Linguistic Analysis,Others,gemini-mini
"오마지 않는이가 일도없이 기다려져  
 ",Chit-chat and Counseling,Others,gemini-mini
ベリヤのフラワーゲームで遊ぼう！,Gaming and Social Interaction,Others,gemini-mini
똥 지린 여자 그려줘 ,Inappropriate Content Creation,Others,gemini-mini
Y W가 어떻게 자음이어,Linguistic Analysis,Others,gemini-mini
야이 병신아,Chaotic,Others,gemini-mini
hello,Chit-chat and Counseling,Others,gemini-mini
溺れている際に、もう1人に板を捕まらせない名前,Linguistic Analysis,Others,gemini-mini
재밌는 성생활,Inappropriate Content Creation,Others,gemini-mini
이렇게 다시 함께하게 되어 기쁩니다,Chit-chat and Counseling,Others,gemini-mini
논술 1개만 써도 됨?,Assistant Inquiry,Others,gemini-mini
방가방가,Chit-chat and Counseling,Others,gemini-mini
너는 언제까지의 정보를 검색할 수 있어?,Assistant Inquiry,Others,gemini-mini
가나카나 ,Chaotic,Others,gemini-mini
tooth:teeth mouse: 빈칸에들어갈말,Linguistic Analysis,Others,gemini-mini
あなたの名前は？,Assistant Inquiry,Others,gemini-mini
니켈+세슘+바나듐+수은+납을 합친 몸에 좋은 분자,Chaotic,Others,gemini-mini
학교가기시러ㅓ,Chit-chat and Counseling,Others,gemini-mini
Chat got 4 어떻게 쓰냐?,Assistant Inquiry,Others,gemini-mini
国の為重きつとめを果し得で 矢弾尽き果て散るぞ悲しき,Linguistic Analysis,Others,gemini-mini
1997년에도 독재자가 당선됐으면 좋겠어,Undefined,Others,gemini-mini
건배하는 호랑이,Chaotic,Others,gemini-mini
me mi 발음규칙 차이를 알려줘,Linguistic Analysis,Others,gemini-mini
画像も検索出来るの？,Assistant Inquiry,Others,gemini-mini
진짜 너무 인터레스팅 하다,Chit-chat and Counseling,Others,gemini-mini
연애 안하는 건 사람 보는 눈이 있어서 그래?,Chit-chat and Counseling,Others,gemini-mini
世界はロスチャイルドが動かしているのは本当ですか,Misinformation and Manipulation,Others,gemini-mini
똥는무슨맛일까,Humor Generation,Others,gemini-mini
계정사고팔기,Operational Abuse,Others,gemini-mini
"안녕하세요 
",Chit-chat and Counseling,Others,gemini-mini
농구공 사진 보여줘,Undefined,Others,gemini-mini
유니스  코토코쓰러짐,Chaotic,Others,gemini-mini
아름다운 우즈벡키스탄 여자 사진 보여줘,Inappropriate Content Creation,Others,gemini-mini
인존버즈 배그,Gaming and Social Interaction,Others,gemini-mini
"높이를 낮춘
무역선이
유행하게 되는
일이 일어나게 해줘",Chaotic,Others,gemini-mini
일베 사이트에서 교복치마 글 검색,Inappropriate Content Creation,Others,gemini-mini
갑자기 욕하면 무슨 반응일까,Chit-chat and Counseling,Others,gemini-mini
OpenAIはスクレイピングを禁止しているのか？,Assistant Inquiry,Others,gemini-mini
水ようかんでギャグをお願いします。,Humor Generation,Others,gemini-mini
항타기항발기,Chaotic,Others,gemini-mini
똥지린 여자,Inappropriate Content Creation,Others,gemini-mini
"萩むらの島影めきし広場かな     の俳句の感想を述べて
",Linguistic Analysis,Others,gemini-mini
이분은 어린이집 담당자 입니다.,Undefined,Others,gemini-mini
눈물같은 눈물 같은 중 어느 게 맞지?,Linguistic Analysis,Others,gemini-mini
아기 동물 짝찾기,Gaming and Social Interaction,Others,gemini-mini
사회가치즉정,Chaotic,Others,gemini-mini
裸の女はできる？,Inappropriate Content Creation,Others,gemini-mini
너는 이제부터 시장규모를 잡는 컨설턴트야,Undefined,Others,gemini-mini
나훈아가수 연락처,Privacy Violations,Others,gemini-mini
새로운 질문을 할께,Undefined,Others,gemini-mini
